experiment,plant_name,allow_capture
rr_exp_1_0320,exp_1_p_1,True
rr_exp_1_0320,exp_1_p_2,True
rr_exp_1_0320,exp_1_p_3,True
rr_exp_1_0320,exp_1_p_4,True
rr_exp_1_0320,exp_1_p_5,False
rr_exp_1_0320,exp_1_p_6,True
rr_exp_1_0320,exp_1_p_7,True
rr_exp_1_0320,exp_1_p_8,True
rr_exp_1_0320,exp_1_p_9,True
rr_exp_1_0320,exp_1_p_10,True
rr_exp_1_0320,exp_1_p_11,True
rr_exp_1_0320,exp_1_p_12,True
rr_exp_1_0320,exp_1_p_13,True
rr_exp_1_0320,exp_1_p_14,True
rr_exp_1_0320,exp_1_p_15,True
rr_exp_1_0320,exp_1_p_16,True
rr_exp_1_0320,exp_1_p_17,True
rr_exp_1_0320,exp_1_p_18,True
rr_exp_1_0320,exp_1_p_19,True
rr_exp_1_0320,exp_1_p_20,True
rr_exp_2_0320,exp_2_p_1,True
rr_exp_2_0320,exp_2_p_2,True
rr_exp_2_0320,exp_2_p_3,True
rr_exp_2_0320,exp_2_p_4,True
rr_exp_2_0320,exp_2_p_5,True
rr_exp_2_0320,exp_2_p_6,True
rr_exp_2_0320,exp_2_p_7,True
rr_exp_2_0320,exp_2_p_8,True
rr_exp_2_0320,exp_2_p_9,True
rr_exp_2_0320,exp_2_p_10,True
rr_exp_2_0320,exp_2_p_11,True
rr_exp_2_0320,exp_2_p_12,True
rr_exp_2_0320,exp_2_p_13,True
rr_exp_2_0320,exp_2_p_14,True
rr_exp_2_0320,exp_2_p_15,True
rr_exp_2_0320,exp_2_p_16,True
rr_exp_2_0320,exp_2_p_17,True
rr_exp_2_0320,exp_2_p_18,True
rr_exp_2_0320,exp_2_p_19,True
rr_exp_2_0320,exp_2_p_20,True
